dtc_number,dtc_name,desc,system,severity,urgency
P065A,Generator System Performance,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,BELTS,2,2
P0620,Generator Control Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,BELTS,2,1
P0621,Generator Lamp/L Terminal Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,BELTS,3,2
P0622,Generator Field/F Terminal Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,BELTS,3,2
P0623,Generator Lamp Control Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,BELTS,3,2
P063A,Generator Voltage Sense Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,BELTS,3,2
C0082,Brake System Malfunction Indicator (Subfault),A general braking system malfunction has been detected. This will require immediate investigation by a mechanic. This problem may reduce the performance of your vehicle's brakes.,BRAKING,1,1
C0049,Brake Fluid (Subfault),A problem has been detected with your brake fluid. This will require immediate investigation by a mechanic. This may be caused by air or contamination. This problem may reduce the performance of your vehicle's brakes.,BRAKING,1,1
C0021,Brake Booster Performance (Subfault),A problem has been detected with your car's braking system. This will require immediate investigation by a mechanic. This problem may reduce the performance of your vehicle's brakes.,BRAKING,1,1
C0022,Brake Booster Solenoid (Subfault),A problem has been detected with your car's braking system. This will require immediate investigation by a mechanic. This problem may reduce the performance of your vehicle's brakes.,BRAKING,1,1
P0115,Engine Coolant Temperature Sensor 1 Circuit,A problem has been detected with your engine's coolant temperature sensor. This generally requires that the sensor be replaced. This problem may cause the engine to run very poorly.,COOLING,2,1
P0116,Engine Coolant Temperature Sensor 1 Circuit Range/Performance,A problem has been detected with your engine's coolant temperature sensor. This generally requires that the sensor be replaced. This problem may cause the engine to run very poorly.,COOLING,2,1
P0117,Engine Coolant Temperature Sensor 1 Circuit Low,A problem has been detected with your engine's coolant temperature sensor. This generally requires that the sensor be replaced. This problem may cause the engine to run very poorly.,COOLING,2,1
P0118,Engine Coolant Temperature Sensor 1 Circuit High,A problem has been detected with your engine's coolant temperature sensor. This generally requires that the sensor be replaced. This problem may cause the engine to run very poorly.,COOLING,2,1
P0119,Engine Coolant Temperature Sensor 1 Circuit Intermittent,A problem has been detected with your engine's coolant temperature sensor. This generally requires that the sensor be replaced. This problem may cause the engine to run very poorly.,COOLING,2,1
P011A,Engine Coolant Temperature Sensor 1/2 Correlation,A problem has been detected with your engine's coolant temperature sensor. This generally requires that the sensor be replaced. This problem may cause the engine to run very poorly.,COOLING,4,2
P0526,Fan Speed Sensor Circuit,A problem has been detected with your engine's cooling fan. This will require investigation and diagnostics by a mechanic. This problem may lead to engine overheating.,COOLING,2,3
P00B1,Radiator Coolant Temperature Sensor Circuit,A problem has been detected with your engine's temperature sensor. This generally requires that the sensor be replaced. This problem may mask other more serious issues if not resolved.,COOLING,2,1
P0217,Engine Coolant Over Temperature Condition,Engine over temperature detected. Stop! Allow to cool and check cooling fluid level. If this problem persists a mechanic will be needed to diagnose the problem. This problem can cause engine failure if not resolved.,COOLING,2,1
U0100,"Lost Communication With ECM/PCM ""A""",A communication failure has occurred between your vehicle's electronic systems. This will require investigation and diagnostics by a mechanic. This problem may prevent your vehicle from starting.,ELECTRONICS,2,1
P0520,Engine Oil Pressure Sensor/Switch Circuit,A problem has been detected with your engine's oil pressure sensor. This generally requires that the sensor be replaced. This problem may mask other more serious issues if not resolved.,ENGINE LUBRICATION,2,2
P0521,Engine Oil Pressure Sensor/Switch Range/Performance,A problem has been detected with your engine's oil pressure sensor. This generally requires that the sensor be replaced. This problem may mask other more serious issues if not resolved.,ENGINE LUBRICATION,2,2
P0522,Engine Oil Pressure Sensor/Switch Low,A problem has been detected with your engine's oil pressure sensor. This generally requires that the sensor be replaced. This problem may mask other more serious issues if not resolved.,ENGINE LUBRICATION,2,2
